id,site_code,X,Y,lon,lat,Aclay_base_altitude,gse,depth_to_base_Aclay,thickness_Aclay
3398,351450N1191806W001,847999.3665,3895805.462,-119.180588,35.144995,259,311,52,14.13
4006,351806N1191824W001,847683.4455,3899750.139,-119.182388,35.180595,261,297.1,36.1,13.52
4009,351537N1191823W001,847807.3018,3896765.055,-119.182288,35.153695,259,299.7,40.7,13.95
4010,351541N1191289W001,852672.9962,3896997.777,-119.128888,35.154095,261,292.5,31.5,14.51
4013,351525N1191107W001,854338.8976,3896884.987,-119.110688,35.152495,262,292.2,30.2,14.87
4014,351676N1191106W001,854282.3988,3898561.229,-119.110588,35.167595,263,292.2,29.2,14.71
4015,351514N1190774W001,857379.1407,3896882.229,-119.077388,35.151395,265,287.2,22.2,15.53
5641,351597N1191232W001,853168.3036,3897639.552,-119.123188,35.159695,261,292.3,31.3,14.54
5644,351386N1191088W001,854572.4949,3895349.067,-119.108788,35.138595,262,294.1,32.1,15.07
5849,351742N1191584W001,849897.7928,3899124.185,-119.158388,35.174195,262,291.7,29.7,13.86
5850,351864N1191707W001,848724.7155,3900434.893,-119.170688,35.186395,263,293.7,30.7,13.55
6298,351742N1191791W001,848011.4685,3899051.414,-119.179088,35.174195,260,295.2,35.2,13.66
6300,351533N1191827W001,847772.5476,3896719.262,-119.182688,35.153295,259,300.1,41.1,13.96
6301,351796N1191471W001,850904.2788,3899763.393,-119.147088,35.179595,263,292.3,29.3,13.93
6303,351520N1191109W001,854322.839,3896828.781,-119.110888,35.151995,262,292.2,30.2,14.87
6621,351691N1191596W001,849810.3272,3898553.939,-119.159588,35.169095,261,292.4,31.4,13.92
6631,351516N1190906W001,856175.0153,3896857.004,-119.090588,35.151595,264,287.2,23.2,15.31
3126,351677N1190666W001,858291.9917,3898730.249,-119.066588,35.167695,266,294,28,15.63
3134,351244N1190599W001,859093.1655,3893948.676,-119.059888,35.124395,266,279.6,13.6,15.72
3135,351519N1190610W001,858871.8991,3896996.866,-119.060988,35.151895,266,283.6,17.6,15.68
3136,351386N1190751W001,857644.9079,3895469.872,-119.075088,35.138595,265,282.9,17.9,15.57
3138,351711N1190571W001,859142.8207,3899141.94,-119.057088,35.171095,267,296,29,15.71
3144,351058N1190570W001,859439.4571,3891894.788,-119.056988,35.105795,266,302.5,36.5,15.78
3145,351250N1190338W001,861470.4928,3894109.899,-119.033788,35.124995,268,284.9,16.9,15.85
3146,351691N1190330W001,861348.0359,3899007.43,-119.032988,35.169095,268,294.6,26.6,15.85
3147,351627N1189991W001,864466.2328,3898421.03,-118.999088,35.162695,270,293.9,23.9,15.93
3419,351927N1190213W001,862309.3774,3901669.45,-119.021288,35.192695,269,307.2,38.2,15.9
3427,351872N1190201W001,862443.1872,3901063.388,-119.020088,35.187195,269,303.2,34.2,15.9
3428,351805N1190213W001,862363.6489,3900315.372,-119.021288,35.180495,269,302.3,33.3,15.89
4019,351385N1190757W001,857590.644,3895456.614,-119.075688,35.138495,265,283,18,15.56
4020,351741N1190403W001,860660.6059,3899535.825,-119.040288,35.174095,268,295.5,27.5,15.82
4021,351736N1190405W001,860644.5923,3899479.604,-119.040488,35.173595,268,295.4,27.4,15.82
4027,351134N1190572W001,859387.7777,3892737.571,-119.057188,35.113395,266,293.5,27.5,15.76
4028,351511N1190210W001,862521.7144,3897053.366,-119.020988,35.151095,269,282.4,13.4,15.88
4029,351512N1190211W002,862512.1541,3897064.099,-119.021088,35.151195,269,282.5,13.5,15.88
4031,351921N1190045W001,863842.7349,3901664.345,-119.004488,35.192095,269,306.5,37.5,15.93
4034,351505N1190050W001,863982.9269,3897045.3,-119.004988,35.150495,270,291.1,21.1,15.92
5647,351511N1190405W001,860744.138,3896982.352,-119.040488,35.151095,268,281.3,13.3,15.81
5648,351717N1190395W001,860744.1349,3899272.359,-119.039488,35.171695,268,295,27,15.82
5649,351694N1190530W001,859523.9706,3898968.102,-119.052988,35.169395,267,296,29,15.74
5651,351247N1190518W001,859830.4562,3894011.273,-119.051788,35.124695,266,279.2,13.2,15.77
5652,351241N1190396W001,860945.5882,3893988.926,-119.039588,35.124095,267,282.6,15.6,15.83
5870,351647N1189978W001,864575.7779,3898647.785,-118.997788,35.164695,270,294.7,24.7,15.93
5871,351802N1189763W001,866465.6659,3900447.337,-118.976288,35.180195,270,300.9,30.9,15.94
6306,351514N1190728W001,857798.4573,3896898.793,-119.072788,35.151395,265,285.8,20.8,15.58
6311,351385N1190757W002,857590.644,3895456.614,-119.075688,35.138495,265,283,18,15.56
6312,351514N1190718W001,857889.6132,3896902.396,-119.071788,35.151395,265,285.3,20.3,15.59
6313,351651N1190403W001,860700.4334,3898536.924,-119.040288,35.165095,268,291.6,23.6,15.81
6320,351047N1190693W001,858322.4306,3891728.302,-119.069288,35.104695,265,306.8,41.8,15.71
6321,351794N1190403W001,860637.1478,3900124.067,-119.040288,35.179395,268,297.2,29.2,15.83
6322,351737N1190050W001,863879.3602,3899620.281,-119.004988,35.173695,270,297.4,27.4,15.92
6325,351219N1190126W001,863417.4633,3893843.157,-119.012588,35.121895,269,319.4,50.4,15.91
6633,351512N1190211W001,862512.1541,3897064.099,-119.021088,35.151195,269,282.5,13.5,15.88
6638,351219N1190132W001,863362.7485,3893840.963,-119.013188,35.121895,269,318.1,49.1,15.91
3963,355000N1196050W001,807963.3678,3933794.914,-119.604987,35.499995,204,247.5,43.5,15.94
3964,355000N1196050W002,807963.3678,3933794.914,-119.604987,35.499995,204,247.5,43.5,15.94
3965,355031N1195831W001,809938.7695,3934207.606,-119.583088,35.503095,207,247.7,40.7,15.94
3966,354994N1195849W001,809789.6621,3933791.354,-119.584887,35.499395,207,247.8,40.8,15.94
6263,355003N1195827W001,809985.8415,3933898.148,-119.582688,35.500295,207,248.2,41.2,15.94
6264,355031N1195830W001,809947.8438,3934207.92,-119.582988,35.503095,207,247.7,40.7,15.94
2878,356850N1196650W001,801822.4395,3954138.112,-119.664987,35.684995,190,240.8,50.8,10.24
2880,357006N1195802W001,809439.4725,3956133.581,-119.580187,35.700595,188,224.4,36.4,10.84
2881,356239N1196206W001,806075.5597,3947495.367,-119.620587,35.623895,196,237.4,41.4,13.07
2882,356308N1195900W001,808821.4979,3948356.862,-119.589988,35.630795,196,249,53,13.06
2883,356231N1195938W001,808506.8523,3947490.44,-119.593788,35.623095,197,250.3,53.3,13.36
2884,356375N1195718W001,810444.432,3949157.765,-119.571787,35.637495,195,241.4,46.4,13.18
2885,356194N1195671W001,810940.3982,3947164.04,-119.567087,35.619395,198,254.5,56.5,13.97
3002,355681N1196093W001,807312.9403,3941338.502,-119.609287,35.568095,200,242.4,42.4,15.3
3003,355586N1196113W001,807167.9099,3940278.042,-119.611288,35.558595,201,243.1,42.1,15.52
3006,355377N1196197W001,806485.8531,3937932.588,-119.619687,35.537695,200,245.4,45.4,15.86
