Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
42800,356061N1196499W001,803488.1904,3945429.208,-119.649887,35.606095,1525.713,46.71989
42804,356739N1195811W001,809461.2693,3953167.779,-119.581087,35.673895,1695.122,45.29235
42832,355908N1196399W001,804452.4573,3943762.312,-119.639887,35.590795,1548.406,78.81459
42836,355903N1196399W002,804454.3532,3943706.828,-119.639887,35.590295,1546.679,79.70316
42840,356056N1196404W001,804351.0152,3945403.106,-119.640387,35.605595,1600.86,56.91269
42844,356056N1196416W001,804242.2655,3945399.39,-119.641587,35.605595,1591.889,55.72026
42848,356056N1196416W003,804242.2655,3945399.39,-119.641587,35.605595,1591.889,55.72026
42852,356044N1196296W001,805334.3303,3945303.448,-119.629587,35.604395,1671.522,68.44997
42856,356157N1196317W001,805101.0417,3946550.881,-119.631687,35.615695,1680.331,54.61999
42884,355875N1196288W001,805471.1344,3943430.55,-119.628787,35.587495,1639.959,97.04379
42888,356101N1196181W001,806354.7734,3945971.772,-119.618087,35.610095,1740.761,69.88271
42904,355578N1196182W001,806545.2772,3940167.743,-119.618188,35.557795,1580.644,165.2494
42908,355580N1196188W001,806490.1069,3940188.067,-119.618787,35.557995,1579.468,165.6963
42912,355673N1196204W001,806309.5749,3941215.099,-119.620388,35.567295,1636.458,145.9538
42916,355875N1196224W001,806051.2669,3943450.456,-119.622388,35.587495,1690.766,101.8479
42920,356013N1195920W001,808753.8327,3945076.926,-119.591988,35.601295,1824.146,90.59555
42924,355997N1195821W001,809657.2553,3944930.523,-119.582088,35.599695,1826.626,92.05727
42928,355288N1196206W002,806438.1153,3936942.161,-119.620587,35.528795,1383.708,174.919
42932,355282N1196003W001,808281.8795,3936938.959,-119.600287,35.528195,1381.035,124.5229
42936,355865N1195682W001,810968.1872,3943509.585,-119.568187,35.586495,1781.746,97.34046
42940,355866N1195834W001,809589.9465,3943472.705,-119.583388,35.586595,1827.112,104.9747
42948,354853N1196243W001,806267.8541,3932103.516,-119.624287,35.485295,1587.597,110.9654
42952,355140N1196164W001,806875.5244,3935312.901,-119.616388,35.513995,1408.719,131.2659
42956,355530N1195827W002,809782.9164,3939746.288,-119.582688,35.552995,1525.034,117.7693
42960,354852N1195978W001,808673.4231,3932175.099,-119.597787,35.485195,1913.349,86.26812
42964,354852N1195976W002,808691.5756,3932175.726,-119.597588,35.485195,1915.033,86.57394
42968,355003N1195827W001,809985.8415,3933898.148,-119.582688,35.500295,1709,88.00558
42972,355031N1195830W001,809947.8438,3934207.92,-119.582988,35.503095,1649.049,86.56247
42976,355139N1195849W001,809733.8923,3935400.42,-119.584887,35.513895,1457.327,89.49859
42984,354559N1195974W001,808821.908,3928924.955,-119.597387,35.455895,2462.708,207.167
42988,354561N1195946W001,809075.369,3928955.921,-119.594588,35.456095,2517.926,210.2576
43004,354415N1195831W001,810175.6203,3927371.87,-119.583088,35.441495,2789.504,206.2652
43020,354135N1194484W001,822520.0859,3924696.484,-119.448387,35.413495,1911.345,95.46111
43024,354125N1194378W001,823487.079,3924620.197,-119.437787,35.412495,1843.797,88.45213
43028,354276N1194210W001,824952.6076,3926351.113,-119.420987,35.427595,1634.672,73.74859
43048,353972N1194199W001,825174.8349,3922981.085,-119.419888,35.397195,1907.431,76.85105
43052,353696N1193867W001,828303.6447,3920027.978,-119.386687,35.369595,1755.91,56.62758
43056,354061N1193765W001,829082.2697,3924112.572,-119.376487,35.406095,1543.507,33.61145
43060,353986N1193621W001,830421.2943,3923328.34,-119.362088,35.398595,1526.212,25.05036
43064,354092N1193501W001,831468.2339,3924544.933,-119.350088,35.409195,1440.889,25.54641
43068,353331N1193775W001,829288.2973,3916007.946,-119.377488,35.333095,1494.05,26.9787
43076,353034N1193243W001,834248.8134,3912890.338,-119.324287,35.303395,847.2125,46.04076
43080,353245N1192886W001,837408.8762,3915353.177,-119.288588,35.324495,910.6388,4.773591
43084,353360N1192531W001,840589.414,3916751.148,-119.253088,35.335995,805.2756,34.73989
43088,353466N1192534W001,840517.57,3917926.518,-119.253388,35.346595,833.2863,48.35868
43092,352296N1193432W002,832831.5926,3904636.572,-119.343187,35.229595,1027.4,46.58446
43096,352296N1193432W004,832831.5926,3904636.572,-119.343187,35.229595,1027.4,46.58446
43100,352249N1193536W001,831903.76,3904080.121,-119.353588,35.224895,1289.681,57.96439
43104,353397N1192342W001,842292.5878,3917227.051,-119.234188,35.339695,761.7945,28.46891
43108,353514N1192046W001,844934.5429,3918628.446,-119.204588,35.351395,736.8002,14.1232
43112,351953N1193550W001,831896.9259,3900790.552,-119.354987,35.195295,1709.929,65.60606
43116,352024N1193567W001,831713.1426,3901572.794,-119.356688,35.202395,1849.182,61.04499
43120,353033N1192301W001,842819.338,3913201.501,-119.230087,35.303295,718.9601,33.09361
43124,353372N1192010W001,845322.4159,3917065.048,-119.200987,35.337195,715.0186,11.42553
43132,353286N1191637W001,848751.6034,3916241.5,-119.163687,35.328595,703.5847,5.272278
43144,352108N1192338W001,842872.8049,3902922.91,-119.233788,35.210795,1739.523,19.18628
43176,351371N1192603W001,840767.0831,3894652.439,-119.260288,35.137095,2210.184,54.57219
43204,351366N1192346W001,843112.1409,3894685.393,-119.234588,35.136595,2464.13,40.76902
43208,351519N1192366W001,842865.5131,3896376.484,-119.236588,35.151895,2467.234,40.26005
44540,357317N1197832W001,790951.5324,3958962.904,-119.783187,35.731695,1129.033,133.558
44544,357617N1197146W001,797046.718,3962497.85,-119.714587,35.761695,1565.846,52.11195
44576,356448N1197084W001,798042.8769,3949544.531,-119.708387,35.644795,1143.252,68.07767
