id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
821,371213N1208310W001,692695.8662,4110529.973,-120.830987,37.121295,236.673,97.9326
4913,370102N1208907W001,687665.0851,4098083.273,-120.890687,37.010195,236.71,10
1185,370568N1206613W001,707950.5529,4103731.183,-120.661287,37.056795,236.749,61.7723
1133,350253N1189496W001,869598.8626,3883353.529,-118.949588,35.025295,236.837,10
2969,359894N1192998W001,833608.309,3989107.557,-119.299787,35.989395,237.11,34.9883
1980,364033N1195429W001,810043.2503,4034236.265,-119.542887,36.403295,237.26,46.6291
5854,352597N1191465W001,850613.6092,3908655.395,-119.146488,35.259695,237.364,10
837,371135N1207818W001,697087.6323,4109765.556,-120.781787,37.113495,237.568,52.7897
6375,370391N1206385W001,710026.9657,4101817.332,-120.638487,37.039095,237.815,61.1053
4929,370438N1206510W001,708902.1878,4102311.296,-120.650987,37.043795,238.39,63.0786
3223,357611N1194849W001,817825.2047,3963152.687,-119.484887,35.761095,238.416,93.7263
6539,362414N1193866W001,824738.2015,4016781.634,-119.386587,36.241395,238.434,22.8294
5609,360953N1192665W001,836160.6461,4000975.886,-119.266487,36.095295,238.443,41.5029
5744,357869N1194421W001,821592.5458,3966155.763,-119.442087,35.786895,238.499,50
810,371388N1208688W001,689293.6555,4112395.616,-120.868787,37.138795,238.515,110.041
